frame,x1,y1,x2,y2
198,173,372,201,401
206,166,343,191,371
212,158,358,185,393
216,166,338,192,368
225,186,347,218,382
237,210,242,244,279
249,224,337,259,373
257,207,287,235,319
268,182,362,208,389
277,184,321,209,349
285,183,354,212,387
295,195,279,222,310
300,200,292,226,320
309,189,249,217,280
320,170,352,202,387
329,209,285,241,323
339,252,354,285,390
351,270,240,300,273
363,264,330,290,361
370,246,301,274,330
382,208,386,237,417
389,167,358,195,386
395,127,382,157,412
401,146,350,174,381
408,168,380,201,412
415,170,336,199,366
426,170,393,193,418
430,169,375,197,406
437,167,398,196,427
447,144,341,174,371
450,136,349,167,383
466,140,87,173,125
482,153,285,178,314
492,164,216,190,247
503,176,289,199,314
512,182,237,206,261
521,183,290,206,314
527,191,246,212,269
536,194,308,216,331
547,180,227,210,261
555,162,292,197,327
562,148,247,178,278
577,127,399,152,426
583,139,366,164,393
591,153,398,173,422
599,129,368,150,388
604,117,384,139,407
614,118,331,143,356
622,117,382,150,416
